name,description
Aphex Twin,"Richard D. James, innovative electronic/IDM producer known for experimental ambient and techno, avant-garde sound design, and lasting influence on electronic music"
The Champs,"American rock and roll band from the 1950s, best known for their instrumental hit 'Tequila', a classic of early rock and roll"
Ricky Martin,"Puerto Rican pop icon known for 'Livin' la Vida Loca' and 'She Bangs', leading figure in Latin pop crossover to mainstream markets"
Bonkers,"UK hardcore and happy hardcore music collective, known for their compilation albums and energetic rave scene presence"
Pixies,"Influential American alternative rock band from Boston, pioneers of the loud-quiet-loud dynamic, known for surreal lyrics and impact on 90s alternative rock"
The Pump Panel,"Electronic and industrial music project known for experimental sound design and underground electronic music contributions"
The Stranglers,"British punk rock and new wave band formed in the 1970s, known for 'Golden Brown', distinctive keyboard-driven sound and dark lyrical themes"
The Mariachis,"Traditional Mexican folk music ensemble featuring violins, trumpets, and guitars, performing classic rancheras and celebrating Mexican cultural heritage"
KMFDM,"German industrial rock band known for aggressive electronic beats, political lyrics, and influential role in the industrial music scene since the 1980s"
Aerosmith,"Legendary American rock band from Boston, known as 'America's Greatest Rock and Roll Band', famous for 'Dream On', 'Walk This Way', and multi-decade career"
Rammstein,"German Neue Deutsche Härte band known for theatrical pyrotechnic live shows, heavy industrial metal sound, and provocative German-language lyrics"
