title,artist,album,genre,year,audio_file,owner
"180db_ [130]",Aphex Twin,Syro,Experimental,2014,"media/audio/180db_ [130].mp3",admin
"Dream On",Aerosmith,Aerosmith,Rock,1972,"media/audio/Dream On.mp3",admin
"Golden Brown",The Stranglers,La Folie,Rock,1982,"media/audio/Golden Brown.mp3",admin
"Ich will",Rammstein,Mutter,Metal,2001,"media/audio/Ich will.mp3",admin
"La Bamba",The Mariachis,Mexican Fiesta,Folk,2017,"media/audio/La Bamba.mp3",admin
"La Cucaracha",The Mariachis,Mexican Fiesta,Folk,2017,"media/audio/La Cucaracha.mp3",admin
"Livin' La Vida Loca",Ricky Martin,Ricky Martin,Pop,1999,"media/audio/Livin' La Vida Loca.mp3",admin
"Megalomaniac",KMFDM,Symbols,Industrial,1997,"media/audio/Megalomaniac.mp3",admin
"Pilsplaat",Bonkers,Pilsplaat,House,2022,"media/audio/Pilsplaat.mp3",admin
"Sonne",Rammstein,Mutter,Metal,2001,"media/audio/Sonne.mp3",admin
"Stray Bullet",KMFDM,Symbols,Industrial,1997,"media/audio/Stray Bullet.mp3",admin
"Tequila",The Champs,Tequila,Rock and Roll,1994,"media/audio/Tequila.mp3",admin
"The Original Theme from 'Blade'",The Pump Panel,Missile,Techno,1998,"media/audio/The Original Theme from 'Blade'.mp3",admin
"Where Is My Mind",Pixies,Death to the Pixies,Rock,1997,"media/audio/Where Is My Mind.mp3",admin
"test-180db_ [130]",Aphex Twin,Syro,Experimental,2014,"media/audio/test-180db_ [130].mp3",admin
